# (UTF-8), ,© 2012 MapOSMatic/ocitysmap authors. Map data © 2012 OpenStreetMap.org and contributors (CC-BY-SA)
A
,Aberaeron Close,Q8-R8
,Aberystwyth Crescent,L17
,Abingdon Street,S11
,Adar Y Mor,O21
,Ael-Y-Coed,H16
,Aeron Close,J15
,Afal Sur,S7
,Afan Close,J15
,Albert Street,V12
,Alexandra Crescent,K16-L15
,Alwen Drive,H14-I14
,Amherst Crescent,N21-O20
,Amroth Court,O10
,Andover Close,G10-H10
,Aneurin Road,Q14-R13
,Angle Close,O9
,Archer Road,N20-N21
,Arden Way,T10
,Argae Lane,V5-V8
,Arno Road,U11-U12
,Arthur Street,V12-W12
,Ar y Nant,Q10-R10
,Ashby Road,AC13-AC14
,Ash Grove,T10-U10
,Atlantic Crescent,S18-T17
,Atlantic Place,U10-U11
,Atlantic Way,R19-U16
B
,Balmoral Court,I10-I9
,Barrians Way,L14
,Barry Docks Link Road,R4-Z11
,Barry Road,AC5-L14
,Bassett Street,R14
,Bastian Close,T11
,Beachway,H22
,Beachwood,AA15-AB15
,Beatrice Road,S13
,Beatty Close,P8-Q8
,Beaumont Close,H10
,Beauville Lane,AA2-Z1
,Bedlington Terrace,J15-K15
,Beidr Iorwg,U8
,Belle Vue Terrace,T12-U12
,Bell Street,I17-J18
,Belmont Street,P13-P14
,Belvedere Crescent,P15-P16
,Bendrick Road,U18-V17
,Beryl Place,N15-N16
,Beryl Road,N15-N16
,Beverley Street,R11
,Bicester Road,Y12
,Birch Grove,H21
,Blackberry Drive,J13-J14
,Blackwell Close,R12
,Blenheim Close,H10
,Blodyn Y Gog,T8-U8
,Blyth Close,P7
,Boon Close,Q10
,Borough Avenue,K10-M9
,Bramble Avenue,J14
,Breaksea Drive,N21-P21
,Brecon Court,P12
,Brenig Close,I12-I13
,Breon Road,Z13
,Bridge Street,S10-S11
,Britway Road,AB3-AC2
,Broad Close,H15
,Broad Street,J20-M16
,Brock,S10-S11
,Brock Street,S11-T11
,Bromfield Road,N20
,Bron Awelon,F20-G19
,Bron-Y-Mor,H22-I21
,Brookfield Avenue,T10-U9
,Brook Street,R14
,Broughton Place,Q9
,Brunel Close,V10
,Bryanston Road,Y13-Z13
,Brynhill Close,J10
,Buckingham Place,I10-I9
,Bull Cliff Walk,E20
,Burlington Street,R14-S15
,Burns Crescent,N9
,Buttrills Close,M15
,Buttrills Road,L14-N16
,Buttrills Walk,L13-L14
,Byron Street,O14
C
,Cadoc Crescent,W12-W13
,Cae Garw,AC5
,Cae Glas,R10-R11
,Cae Leon,N7
,Caer Ffynnon,I19
,Cae'r Odyn,AC5-AC6
,Caer Pwyll,AB5
,Caldy Close,O10-P10
,Cambourne Close,I10
,Cambridge Street,H19
,Camrose Court,O10
,Canon Street,J19-K19
,Caple Road,H19-I19
,Caradoc Avenue,O12-Q12
,Cardiff Road,AC4-T13
,Carew Close,O10
,Carn-Yr-Ebol,S7-S8
,Castleland Street,Q15-Q16
,Castle Street,I18-J18
,Cawley Place,R11
,Cefyn Mount,AB2-AB3
,Cei Dafydd,P18-Q18
,Ceiriog Close,Q10
,Cemetery Road,N12-N13
,Cennin Pedr,S7-T7
,Central Way,Y13
,Charles Darwin Way,M19-P20
,Charles Place,J21
,Charlotte Place,S13
,Charter Avenue,K10-L10
,Chaucer Road,N8-N9
,Chesterfield Street,R11-R12
,Chilcote Street,R12-R13
,Churchfields,S8-T8
,Church Road,S11-T11
,Claude Road,J15-L14
,Claude Road West,J15-J17
,Cledwen Close,G14-H14
,Clement Place,I21-J21
